*line 県	会社	路線	ろせん	駅	えき	営業キロ	計算キロ	乗換路線	同名駅	都区市内	新幹線乗換	近郊区間	電車特定	山手,環状線内	70条適用駅	新幹線の並行在来線	JR6社の境界駅	69条適用駅	新幹線在来線分岐駅	分岐特例2	線種
北海道	JR北海道	函館線	はこだてせん	函館	はこだて	0	0	 		0	0	0	0	0	0	!	0	0	0	!	2
北海道	JR北海道	函館線	はこだてせん	五稜郭	ごりょうかく	3.4	0			0	0	0	0	0	0	!	0	0	0	!	2
北海道	JR北海道	函館線	はこだてせん	桔梗	ききょう	8.3	0	 		0	0	0	0	0	0	!	0	0	0	!	2
北海道	JR北海道	函館線	はこだてせん	大中山	おおなかやま	10.4	0	 		0	0	0	0	0	0	!	0	0	0	!	2
北海道	JR北海道	函館線	はこだてせん	七飯	ななえ	13.8	0	 		0	0	0	0	0	0	!	0	0	0	!	2
北海道	JR北海道	函館線	はこだてせん	新函館北斗	しんはこだてほくと	17.9	0	北海道新幹線		0	0	0	0	0	0	!	0	0	0	!	2
北海道	JR北海道	函館線	はこだてせん	仁山	にやま	21.2	0	 		0	0	0	0	0	0	!	0	0	0	!	2
北海道	JR北海道	函館線	はこだてせん	大沼	おおぬま	27	0	函館線(東森経由)		0	0	0	0	0	0	!	0	0	0	!	2
北海道	JR北海道	函館線	はこだてせん	大沼公園	おおぬまこうえん	28	0	 		0	0	0	0	0	0	!	0	0	0	!	2
北海道	JR北海道	函館線	はこだてせん	赤井川	あかいがわ	31.7	0	 		0	0	0	0	0	0	!	0	0	0	!	2
北海道	JR北海道	函館線	はこだてせん	駒ケ岳	こまがたけ	36.5	0	 		0	0	0	0	0	0	!	0	0	0	!	2
#北海道	JR北海道	函館線	はこだてせん	東山	ひがしやま	40.1	0	 		0	0	0	0	0	0	!	0	0	0	!	2
#北海道	JR北海道	函館線	はこだてせん	姫川	ひめかわ	44.2	0	 	(函)	0	0	0	0	0	0	!	0	0	0	!	2
北海道	JR北海道	函館線	はこだてせん	森	もり	49.5	0	函館線(東森経由)		0	0	0	0	0	0	!	0	0	0	!	2
#北海道	JR北海道	函館線	はこだてせん	桂川	かつらがわ	52.2	0	 	(函)	0	0	0	0	0	0	!	0	0	0	!	2
